user_id,year,month,day,had_drinks,number_of_drinks
7338,2015,5,8,No,0
6321,2015,5,8,No,0
7345,2015,5,8,Yes,1
2537,2015,5,8,No,0
1285,2015,5,8,No,0
2744,2015,5,8,Yes,1
7348,2015,5,8,No,0
6847,2015,5,8,Yes,1
6958,2015,5,8,Yes,2
7349,2015,5,8,No,0
819,2015,5,8,Yes,3
6023,2015,5,8,Yes,2
1855,2015,5,8,No,0
7016,2015,5,8,No,0
1628,2015,5,8,No,0
7350,2015,5,8,No,0
7362,2015,5,8,No,0
7359,2015,5,8,No,0
7358,2015,5,8,Yes,1
6611,2015,5,8,No,0
5861,2015,5,8,No,0
7082,2015,5,8,No,0
7370,2015,5,8,No,0
7365,2015,5,8,Yes,1
2172,2015,5,8,No,0
5126,2015,5,8,No,0
7321,2015,5,8,No,0
1786,2015,5,8,No,0
1118,2015,5,8,No,0
7377,2015,5,8,No,0
7376,2015,5,8,No,0
949,2015,5,8,Yes,2
6658,2015,5,8,Yes,1
886,2015,5,8,No,0
2977,2015,5,8,Yes,2
3705,2015,5,8,Yes,3
1061,2015,5,8,No,0
6299,2015,5,8,No,0
3605,2015,5,8,No,0
1543,2015,5,8,No,0
7370,2015,5,9,No,0
3027,2015,5,9,No,0
2744,2015,5,9,No,0
790,2015,5,9,No,0
7005,2015,5,9,No,0
7005,2015,5,9,No,0
1285,2015,5,9,No,0
5472,2015,5,9,No,0
3705,2015,5,9,No,0
5126,2015,5,9,No,0
4634,2015,5,9,No,0
7171,2015,5,9,No,0
2916,2015,5,9,No,0
1628,2015,5,9,No,0
2477,2015,5,9,No,0
7279,2015,5,9,No,0
6847,2015,5,9,Yes,1
1317,2015,5,9,No,0
1061,2015,5,9,No,0
2978,2015,5,9,No,0
6023,2015,5,9,No,0
6321,2015,5,9,No,0
886,2015,5,9,No,0
7392,2015,5,9,No,0
2172,2015,5,9,No,0
6611,2015,5,9,No,0
5861,2015,5,9,Yes,1
7396,2015,5,9,No,0
1786,2015,5,9,No,0
2537,2015,5,9,No,0
5856,2015,5,9,Yes,1
7403,2015,5,9,No,0
2965,2015,5,10,Yes,1
5472,2015,5,10,No,0
1628,2015,5,10,No,0
3435,2015,5,10,No,0
2744,2015,5,10,Yes,1
2944,2015,5,10,No,0
7406,2015,5,10,No,0
5126,2015,5,10,Yes,2
4634,2015,5,10,No,0
6847,2015,5,10,Yes,1
1317,2015,5,10,Yes,2
1285,2015,5,10,No,0
7171,2015,5,10,No,0
3027,2015,5,10,No,0
7398,2015,5,10,No,0
2537,2015,5,10,No,0
7408,2015,5,10,Yes,2
6400,2015,5,10,No,0
6023,2015,5,10,No,0
886,2015,5,10,Yes,2
6321,2015,5,10,No,0
7370,2015,5,10,No,0
5097,2015,5,10,No,0
7286,2015,5,10,Yes,3
2477,2015,5,10,Yes,2
2393,2015,5,10,Yes,6
6579,2015,5,10,No,0
765,2015,5,10,No,0
1061,2015,5,10,No,0
5924,2015,5,10,No,0
7247,2015,5,10,Yes,1
5861,2015,5,10,Yes,1
1786,2015,5,10,No,0
7415,2015,5,10,No,0
3711,2015,5,10,No,0
7417,2015,5,10,No,0
1840,2015,5,10,No,0
7403,2015,5,10,No,0
7337,2015,5,10,Yes,1
5261,2015,5,10,Yes,1
6452,2015,5,11,No,0
3390,2015,5,11,No,0
5481,2015,5,11,No,0
4948,2015,5,11,No,0
7364,2015,5,11,No,0
7370,2015,5,11,No,0
2115,2015,5,11,Yes,1
5156,2015,5,11,Yes,1
2267,2015,5,11,No,0
6560,2015,5,11,Yes,1
3435,2015,5,11,No,0
536,2015,5,11,No,0
2944,2015,5,11,No,0
819,2015,5,11,No,0
4634,2015,5,11,No,0
6925,2015,5,11,No,0
7421,2015,5,11,No,0
5472,2015,5,11,No,0
7097,2015,5,11,Yes,1
3027,2015,5,11,No,0
6967,2015,5,11,No,0
7023,2015,5,11,No,0
7171,2015,5,11,No,0
1628,2015,5,11,No,0
7247,2015,5,11,Yes,3
2537,2015,5,11,No,0
6023,2015,5,11,No,0
765,2015,5,11,No,0
7403,2015,5,11,No,0
1272,2015,5,11,No,0
2870,2015,5,11,No,0
4923,2015,5,11,No,0
1957,2015,5,11,No,0
7398,2015,5,11,No,0
7366,2015,5,11,No,0
4983,2015,5,11,No,0
7426,2015,5,11,No,0
7358,2015,5,11,No,0
6212,2015,5,11,No,0
7427,2015,5,11,Yes,1
6321,2015,5,11,No,0
1713,2015,5,11,No,0
6847,2015,5,11,Yes,1
4202,2015,5,11,No,0
6269,2015,5,11,No,0
1317,2015,5,11,No,0
2744,2015,5,11,No,0
6678,2015,5,11,No,0
7397,2015,5,11,No,0
554,2015,5,11,Yes,1
7439,2015,5,11,No,0
1183,2015,5,11,Yes,2
6400,2015,5,11,No,0
4215,2015,5,11,No,0
1786,2015,5,11,No,0
7449,2015,5,11,No,0
7371,2015,5,11,No,0
7443,2015,5,11,No,0
6579,2015,5,11,No,0
6399,2015,5,11,No,0
2477,2015,5,11,Yes,1
7450,2015,5,11,No,0
7235,2015,5,11,No,0
3711,2015,5,11,No,0
6334,2015,5,11,No,0
7415,2015,5,11,No,0
1872,2015,5,11,No,0
1840,2015,5,11,No,0
2393,2015,5,11,No,0
7459,2015,5,11,No,0
7461,2015,5,11,No,0
7463,2015,5,11,No,0
5261,2015,5,11,No,0
7016,2015,5,11,No,0
7440,2015,5,11,No,0
2844,2015,5,12,No,0
6399,2015,5,12,No,0
6967,2015,5,12,No,0
6400,2015,5,12,No,0
3435,2015,5,12,Yes,1
2267,2015,5,12,No,0
6560,2015,5,12,Yes,1
2393,2015,5,12,No,0
2763,2015,5,12,No,0
7364,2015,5,12,No,0
7440,2015,5,12,No,0
2115,2015,5,12,No,0
5472,2015,5,12,No,0
5156,2015,5,12,No,0
7441,2015,5,12,No,0
2944,2015,5,12,No,0
7171,2015,5,12,No,0
1957,2015,5,12,No,0
3027,2015,5,12,No,0
1272,2015,5,12,No,0
7247,2015,5,12,No,0
1872,2015,5,12,No,0
7421,2015,5,12,Yes,2
4357,2015,5,12,No,0
3804,2015,5,12,Yes,2
7398,2015,5,12,No,0
7428,2015,5,12,No,0
7370,2015,5,12,No,0
554,2015,5,12,Yes,2
6847,2015,5,12,Yes,1
6579,2015,5,12,No,0
7478,2015,5,12,Yes,1
7358,2015,5,12,No,0
1549,2015,5,12,No,0
7477,2015,5,12,No,0
5166,2015,5,12,Yes,1
2521,2015,5,12,No,0
6321,2015,5,12,No,0
1810,2015,5,12,No,0
1381,2015,5,12,No,0
6715,2015,5,12,No,0
1628,2015,5,12,No,0
3711,2015,5,12,No,0
2744,2015,5,12,Yes,1
4935,2015,5,12,No,0
6023,2015,5,12,Yes,2
1840,2015,5,12,No,0
2477,2015,5,12,Yes,1
1655,2015,5,12,No,0
3829,2015,5,12,No,0
1725,2015,5,12,No,0
4948,2015,5,12,No,0
7491,2015,5,12,Yes,1
7493,2015,5,12,No,0
6334,2015,5,12,No,0
1725,2015,5,13,No,0
2944,2015,5,13,No,0
7364,2015,5,13,No,0
6967,2015,5,13,No,0
3067,2015,5,13,No,0
2394,2015,5,13,No,0
1628,2015,5,13,No,0
6399,2015,5,13,Yes,1
6400,2015,5,13,Yes,1
7500,2015,5,13,No,0
2521,2015,5,13,No,0
5156,2015,5,13,Yes,1
7171,2015,5,13,No,0
5472,2015,5,13,No,0
2115,2015,5,13,No,0
2267,2015,5,13,No,0
2180,2015,5,13,Yes,6
2393,2015,5,13,No,0
3027,2015,5,13,No,0
6579,2015,5,13,No,0
6195,2015,5,13,No,0
920,2015,5,13,No,0
3804,2015,5,13,No,0
6715,2015,5,13,No,0
2916,2015,5,13,No,0
476,2015,5,13,No,0
1957,2015,5,13,No,0
6023,2015,5,13,Yes,1
5166,2015,5,13,Yes,1
6847,2015,5,13,Yes,1
6560,2015,5,13,Yes,1
7358,2015,5,13,No,0
6952,2015,5,13,No,0
1810,2015,5,13,Yes,5
1855,2015,5,13,No,0
5592,2015,5,13,No,0
1655,2015,5,13,No,0
5126,2015,5,13,Yes,1
6321,2015,5,13,No,0
1463,2015,5,13,No,0
3435,2015,5,13,No,0
6990,2015,5,13,Yes,1
4864,2015,5,13,Yes,2
3705,2015,5,13,No,0
4948,2015,5,13,No,0
7247,2015,5,13,Yes,1
3711,2015,5,13,No,0
6927,2015,5,13,No,0
2477,2015,5,13,No,0
7398,2015,5,13,No,0
6334,2015,5,13,No,0
6437,2015,5,13,No,0
7346,2015,5,13,Yes,1
2763,2015,5,13,No,0
1840,2015,5,13,No,0
5126,2015,5,14,Yes,2
6637,2015,5,14,No,0
